corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3567.6303724236786,3567.6303724236786,return,9.875045392662287,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}]",,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,0,0,0,1,,,,,,,,,3577.5172408372164,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,0.0017566606402397156,0.4979098029434681,,3580.0284345038235,test,3,,,,,,,,,3577.5361018925905,3578.0415417961776,3578.0415417961776,3578.0415417961776,3578.491937980056,3578.9927819743752,3579.0427101291716,3580.0478105656803,right,1,0.45,0.42616529017686844,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,0,1,1,3,,,,,,,,,3580.028971940279,go,circleblack.png,left,0.45,,,,,,,,,,,,,,,,0.0018724054098129272,0.4894312508404255,,3582.531046539545,test,3,,,,,,,,,3580.0478105656803,3580.561013597995,3580.5443334914744,3580.5443334914744,3580.9949266687036,3581.4946954138577,3581.5453716404736,3582.5502223931253,left,1,0.45,0.36115362867712975,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,0,2,2,0,,,,,,,,,3582.5314738824964,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,0.0017629750072956085,0.48978397622704506,,3585.0337466187775,test,3,,,,,,,,,3582.5502223931253,3583.0640367530286,3583.0470613241196,3583.0470613241196,3583.4978501573205,3583.998355537653,3584.0482860654593,3585.0532134585083,right,1,0.45,0.703267689794302,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
$currentCorrectResponse,$currentGoStim,,,,,,,,,2,0,2,0,0,3,3,0,,,,,,,,,3585.0341851115227,stop,circleblack.png,left,0.45,,,,,,,,,,,,,,,,0.0018207989633083344,0.48977968096733093,0.9403689987957478,3587.5367856882513,test,3,,,,,,,,,3585.0532134585083,3585.5668233819306,3585.5496893525124,3585.5496893525124,3586.000467840582,3586.5011091716588,3586.5511988699436,3587.5559289455414,left,1,0.4,0.3576405495405197,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,1,0,4,2,,,,,,,,,3587.5372224748135,stop,squareblack.png,right,0.4,,,,,,,,,,,,,,,,0.0017006061971187592,0.4895300716161728,0.8901813812553883,3590.039431799203,test,3,,,,,,,,,3587.5559289455414,3588.0691181868315,3588.052636437118,3588.052636437118,3588.453051302582,3588.953055292368,3589.0528409406543,3590.058191075921,right,1,0.35,0.43552980944514275,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,1,1,5,3,,,,,,,,,3590.0399148501456,stop,squareblack.png,right,0.35,,,,,,,,,,,,,,,,0.0012684762477874756,0.48974526301026344,0.8401796482503414,3592.5421844534576,test,3,,,,,,,,,3590.058191075921,3590.5719823911786,3590.555553626269,3590.555553626269,3590.905727915466,3591.4055675193667,3591.5558608174324,3592.5612314231694,right,1,0.3,0.4400923326611519,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,1,2,6,2,,,,,,,,,3592.5426248796284,go,squareblack.png,right,0.3,,,,,,,,,,,,,,,,0.001326046884059906,0.4895528666675091,,3595.044900715351,test,3,,,,,,,,,3592.5612314231694,3593.0748719237745,3593.0581479929388,3593.0581479929388,3593.358437381685,3593.858938090503,3594.0595605038106,3595.0643840804696,right,1,0.3,0.6604037918150425,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,1,3,7,1,,,,,,,,,3595.045324191451,stop,circleblack.png,left,0.3,,,,,,,,,,,,,,,,0.001958366483449936,0.48967400193214417,0.7901682555675507,3597.547769125551,test,3,,,,,,,,,3595.0643840804696,3595.577790774405,3595.560943122953,3595.560943122953,3595.861074142158,3596.361674565822,3596.562019791454,3597.5663229748607,None,0,0.35,,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
None,None,,,,,,,,,2,0,2,0,2,0,8,3,,,,,,,,,3597.548202190548,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,,0.001291513442993164,0.489897258579731,,3600.0502925738692,test,3,,,,,,,,,3597.5663229748607,3598.080353833735,3598.0638325586915,3598.0638325586915,3598.4141151569784,3598.914805032313,3599.0634820386767,3600.069471400231,left,1,0.35,0.6504099406301975,,,,,,,,,,,s009,001,2024-07-12_15h45.17.522,simplestop_skeleton,2022.2.2,59.793689124131475,
