corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,0,0,0,0,11,0,44,1,,,,,,,,,822.8357242420316,go,squareblack.png,right,0.7,,,,,,,,,,,,,,,,,,0.001209855079650879,0.4903346821665764,,825.339366260916,test,1,,,,,,,822.8518888279796,823.3514716178179,823.3514716178179,823.3514716178179,824.0530670844018,824.5525472611189,824.3522527739406,825.3569786287844,right,1,0.7,1.0577848479151726,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,11,1,45,0,,,,,,,,,825.3397972024977,go,squareblack.png,right,0.7,,,,,,,,,,,,,,,,,,0.0011904127895832062,0.4897354431450367,,827.8421185798943,test,1,,,,,,,825.3569786287844,825.8555440157652,825.8555440157652,825.8722790591419,826.556531701237,827.071868672967,826.8551418185234,827.8619424141943,right,1,0.7,0.40775368735194206,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,11,2,46,2,,,,,,,,,827.8425647243857,go,circleblack.png,left,0.7,,,,,,,,,,,,,,,,,,0.002788398414850235,0.487912155687809,,830.3438201546669,test,1,,,,,,,827.8619424141943,828.3567047007382,828.3567047007382,828.3736974559724,829.0574965141714,829.5581754855812,829.3585132546723,830.3627609573305,left,1,0.7,0.78931675106287,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,0,0,0,0,11,3,47,3,,,,,,,,,830.3442715145648,stop,squareblack.png,right,0.7,,,,,,,,,,,,,,,,,,0.001692742109298706,0.49054353684186935,1.191877756267786,832.8470159731805,test,1,,,,,,,830.3627609573305,830.8607974685729,830.8607974685729,830.877519223839,831.5620674714446,832.0775521174073,831.8621554486454,832.8741862885654,right,1,0.65,0.9024366587400436,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
,,,,,,,,,,0,0,0,0,,,,,,"[{'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.8741862885654,832.8741862885654,return,10.159104488790035,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,1,0,1,0,0,0,0,2,,,,,,,,,843.0669326633215,stop,circleblack.png,left,0.65,,,,,,,,,,,,,,,,,,0.001988835632801056,0.4985344223678112,1.1494899094104767,845.578880161047,test,2,,,,,,,843.0859159082174,843.591616563499,843.591616563499,843.591616563499,844.2428000047803,844.7429557777941,844.5928671471775,845.5980948098004,left,1,0.6,0.6204666867852211,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,1,0,1,0,0,1,1,3,,,,,,,,,845.579459682107,go,circleblack.png,left,0.6,,,,,,,,,,,,,,,,,,0.001521524041891098,0.4891432598233223,,848.0802242644131,test,2,,,,,,,845.5980948098004,846.0943306274712,846.0943306274712,846.111047834158,846.695097848773,847.2109530121088,847.0942017287016,848.0983451791108,left,1,0.6,0.7058131322264671,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,1,0,1,0,0,2,2,3,,,,,,,,,848.0806600227952,stop,circleblack.png,left,0.6,,,,,,,,,,,,,,,,,,0.001446399837732315,0.48826340213418007,1.089009940624237,850.5830450430512,test,2,,,,,,,848.0983451791108,848.5957733504474,848.5957733504474,848.61237757653,849.1964620947838,849.6968606933951,849.5969877615571,850.6009894050658,None,0,0.65,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,1,0,1,0,0,3,3,1,,,,,,,,,850.5838172622025,go,squareblack.png,right,0.65,,,,,,,,,,,,,,,,,,0.0016707070171833038,0.48870696872472763,,853.0862993001938,test,2,,,,,,,850.6009894050658,851.0986750759184,851.0986750759184,851.1152700036764,851.7492703609169,852.2498584650457,852.0997068546712,853.1032897979021,right,1,0.65,0.6845121383666992,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
None,None,,,,,,,,,1,0,1,0,1,0,4,2,,,,,,,,,853.086726155132,stop,squareblack.png,right,0.65,,,,,,,,,,,,,,,,,,0.001282375305891037,0.4899432361125946,1.1407171711325645,855.5883207134902,test,2,,,,,,,853.1032897979021,853.6028677970171,853.6028677970171,853.6028677970171,854.2534579336643,854.7539927139878,854.6038126200438,855.6057434268296,None,0,0.7,,,,,,,,,,,,s022,001,2024-07-26_14h00.48.151,simplestop_skeleton,2022.2.2,59.92023224014411,
