,go_rt,stop_fail_rt,go_acc,stop_failure_acc,stop_success,avg_ssd,min_ssd,max_ssd,min_ssd_count,max_ssd_count,ssrt
s021,0.754658252854521,0.64790069802027,1.0,1.0,0.6041666666666666,0.4895833333333333,0.1,0.75,0.0,1.0,0.20633629212776822
s022,0.8379545840046679,0.6762565881723449,0.9895833333333334,1.0,0.5625,0.5708333333333333,0.35,0.75,0.0,1.0,0.20958752135435743
s023,0.5475860547078283,0.48893181285397574,0.9895833333333334,1.0,0.5416666666666666,0.31666666666666665,0.15,0.55,0.0,0.0,0.20742526253064475
s024,0.3953378576164444,0.36018386483192444,0.96875,0.84,0.4791666666666667,0.2020833333333333,0.1,0.35,0.0,0.0,0.17253241414825118
s025,0.647636933485046,0.5297371829333513,1.0,1.0,0.5208333333333334,0.39999999999999997,0.3,0.5,0.0,0.0,0.24253551512956623
s026,0.6377231877607604,0.5905880075693131,0.9895833333333334,1.0,0.4791666666666667,0.45416666666666666,0.3,0.55,0.0,0.0,0.21011856844027837
s027,0.5015239228184024,0.4725586974620819,0.9583333333333334,1.0,0.4791666666666667,0.28750000000000003,0.15,0.4,0.0,0.0,0.19815389215946194
s028,0.3658900430891663,0.35411787803830774,0.90625,0.896551724137931,0.3958333333333333,0.18333333333333335,0.05,0.55,0.0,0.0,0.18862265000740686
s029,0.5386521422324029,0.42966507925935415,0.9791666666666666,1.0,0.5208333333333334,0.2708333333333333,0.15,0.45,0.0,0.0,0.2513940657178561
s030,0.7370561864841115,0.5258871951983088,0.9375,1.0,0.5625,0.39999999999999997,0.2,0.6,0.0,0.0,0.25132500231266025
s031,0.37213977340919274,0.3502967469394207,0.96875,0.9166666666666666,0.5,0.13749999999999998,0.05,0.25,0.0,0.0,0.2408032149076462
s032,0.5894202732791504,0.47611329549302656,1.0,0.9583333333333334,0.5,0.3499999999999999,0.2,0.5,0.0,0.0,0.22336088269948967
s033,0.5496930411706368,0.44871004476495413,0.96875,1.0,0.5208333333333334,0.25833333333333336,0.1,0.45,0.0,0.0,0.2593298921982447
s034,0.367952912968273,0.3399994871020317,0.96875,0.92,0.4791666666666667,0.1729166666666667,0.05,0.25,0.0,0.0,0.19109913607438403
s035,0.5667530372738838,0.45655202958732843,0.9583333333333334,0.9166666666666666,0.5,0.3916666666666666,0.25,0.55,0.0,0.0,0.18236739089091625
s036,0.6941096357380351,0.6051855401500411,1.0,1.0,0.5208333333333334,0.4666666666666666,0.3,0.6,0.0,0.0,0.2238569726546606
s037,0.487871359952766,0.4703874400258064,0.9479166666666666,0.96,0.4791666666666667,0.2708333333333333,0.1,0.45,0.0,0.0,0.17130367706219357
s038,0.5456023454666138,0.45370186648021144,0.9375,0.9166666666666666,0.5,0.30624999999999997,0.15,0.45,0.0,0.0,0.24534457772970203
s039,0.3850316454966863,0.3558420846643655,0.9270833333333334,0.9565217391304348,0.5208333333333334,0.16145833333333334,0.0,0.3,3.0,0.0,0.21506987760464344
s040,0.7123970435337817,0.6548444159949819,0.9583333333333334,0.9583333333333334,0.5,0.5083333333333333,0.4,0.65,0.0,0.0,0.2227375576893489
s041,0.7686660711187869,0.680006320061891,0.9791666666666666,1.0,0.5208333333333334,0.4854166666666666,0.35,0.6,0.0,0.0,0.28243551303943004
s042,0.4293149543615679,0.38610155761241916,0.9791666666666666,1.0,0.4791666666666667,0.20833333333333334,0.1,0.35,0.0,0.0,0.19941159586111704
s043,0.5103192212215314,0.471301037332286,1.0,0.9565217391304348,0.5208333333333334,0.2520833333333333,0.05,0.5,0.0,0.0,0.2489835078517596
mean,0.5576229553935641,0.48165781712053884,0.9739583333333333,0.9748599628757054,0.5145833333333332,0.3277083333333334,0.1725,0.4912500000000001,0.125,0.1,0.2155542100096742
sd,0.1328821249238486,0.10175637325901549,0.02626771549817147,0.03976237032607633,0.035367927750863684,0.12141397296520934,0.1055814183340795,0.14714701352641715,0.515776735638242,0.3038218101250998,0.0311508064613218
