corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
None,None,,,,,,,,,1,0,1,0,0,0,0,1,,,,,,,,,902.8071085773408,stop,squareblack.png,right,0.35,,,,,,,,,,,,,,,,,,0.0016658157110214233,0.4991040863096714,0.8326776549220085,905.3190282694995,test,2,,,,,,902.8265699408948,903.3321719095111,903.3321719095111,903.3321719095111,903.6660347916186,904.1665577329695,904.3336923569441,905.3378556109965,None,0,0.4,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,0,1,1,0,,,,,,,,,905.3195594921708,stop,squareblack.png,right,0.4,,,,,,,,,,,,,,,,,,0.001330789178609848,0.4899114817380905,0.8901660479605198,907.8219837360084,test,2,,,,,,905.3378556109965,905.8516174033284,905.8350349478424,905.8350349478424,906.2355295047164,906.735250364989,906.835394885391,907.8412937037647,right,1,0.35,0.5187374576926231,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,0,2,2,1,,,,,,,,,907.8224084340036,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,,,,0.0018869563937187195,0.4895225763320923,,910.324194714427,test,2,,,,,,907.8412937037647,908.3544164001942,908.3377028852701,908.3377028852701,908.688039816916,909.1882811523974,909.3382273539901,910.3433675579727,left,1,0.35,0.5060617513954639,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,0,3,3,2,,,,,,,,,910.3246315084398,go,squareblack.png,right,0.35,,,,,,,,,,,,,,,,,,0.0017222948372364044,0.490202147513628,,912.8274338394403,test,2,,,,,,910.3433675579727,910.8570113070309,910.8406681157649,910.8406681157649,911.1908015012741,911.6901385337114,911.8411324694753,912.8472229614854,right,1,0.35,0.5014118403196335,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,1,0,4,2,,,,,,,,,912.8278713524342,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,,,,0.0019816234707832336,0.4897046945989132,,915.3300755210221,test,2,,,,,,912.8472229614854,913.3599860593677,913.3433774262667,913.3433774262667,913.6936760805547,914.1931307166815,914.3440497964621,915.3493018299341,left,1,0.35,0.5097161456942558,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,1,1,5,2,,,,,,,,,915.3304959125817,go,squareblack.png,right,0.35,,,,,,,,,,,,,,,,,,0.0015945211052894592,0.48996105045080185,,917.8327695950866,test,2,,,,,,915.3493018299341,915.8628519587219,915.8463126644492,915.8463126644492,916.19659255445,916.6970438249409,916.8473119325936,917.8516206480563,right,1,0.35,0.584959089756012,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,1,2,6,1,,,,,,,,,917.8332024030387,stop,circleblack.png,left,0.35,,,,,,,,,,,,,,,,,,0.0017616897821426392,0.49008137360215187,0.84061623737216,920.3359537385404,test,2,,,,,,917.8516206480563,918.3656411878765,918.3490782901645,918.3490782901645,918.6992264166474,919.1984182931483,919.3492410741746,920.3549948632717,left,1,0.3,0.39031387493014336,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,1,3,7,1,,,,,,,,,920.336391415447,stop,circleblack.png,left,0.3,,,,,,,,,,,,,,,,,,0.001379121094942093,0.48969340324401855,0.7897160649299622,922.8383901193738,test,2,,,,,,920.3549948632717,920.8682601489127,920.851922724396,920.851922724396,921.1518971920013,921.6523769982159,921.8529330231249,922.8604550436139,None,0,0.35,,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
None,None,,,,,,,,,1,0,1,0,2,0,8,3,,,,,,,,,922.8389486260712,go,squareblack.png,right,0.35,,,,,,,,,,,,,,,,,,0.002705410122871399,0.48772934451699257,,925.3410424143076,test,2,,,,,,922.8604550436139,923.3705106340349,923.3540333732963,923.3540333732963,923.7046502456069,924.2053221352398,924.3555390164256,925.360335290432,right,1,0.35,0.5176737308502197,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,2,1,9,0,,,,,,,,,925.341489687562,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,,,,0.001746632158756256,0.48993754386901855,,927.8437563180923,test,2,,,,,,925.360335290432,925.873772829771,925.8571078404784,925.8571078404784,926.2078276760876,926.7079976834357,926.8583344630897,927.8626666590571,left,1,0.35,0.48620906099677086,,,,,,,,,,,s10,001,2024-07-18_15h53.03.879,simplestop_skeleton,2022.2.2,60.00763811535808,
