corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,goStim_test.stopped,stopSignal_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,5,0,20,0,,,,,,,,,,,,,,,,,3120.6758037284017,stop,squareblack.png,right,0.6,3120.6950358226895,3120.6950358226895,3121.191710099578,3121.191710099578,3121.208566121757,3121.7921498790383,3122.2932810485363,3122.1913887411356,3123.193936549127,3123.2105457410216,None,0,3123.2105457410216,3123.2105457410216,0.001225017011165619,0.4901471883058548,1.090979851782322,3123.6952968910336,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,5,1,21,2,,,,,,,,,,,,,,,,,3123.6957439780235,stop,circleblack.png,left,0.65,3123.7152534648776,3123.7152534648776,3124.211367569864,3124.211367569864,3124.2280396595597,3124.8623038306832,3125.3779293075204,3125.211222335696,3126.213613219559,3126.2303809076548,left,1,3126.2303809076548,3126.2303809076548,0.0017957687377929688,0.4900463670492172,1.1406641378998756,3126.7152244076133,practice,1,3126.734961077571,3126.734961077571,0.37546632438898087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,5,2,22,2,,,,,,,,,,,,,,,,,3126.71564591676,stop,circleblack.png,left,0.6,3126.734961077571,3126.734961077571,3127.2312514185905,3127.2312514185905,3127.2483567520976,3127.832287982106,3128.3325338065624,3128.2323617488146,3129.2338081225753,3129.250791594386,left,1,3129.250791594386,3129.250791594386,0.0013522133231163025,0.4899553284049034,1.090498648583889,3129.7351896613836,practice,1,,,0.5102956742048264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,0,0,0,0,5,3,23,1,,,,,,,,,,,,,,,,,3129.735610432923,go,circleblack.png,left,0.55,3129.7548635080457,3129.7548635080457,3130.2519736662507,3130.2519736662507,3130.268648482859,3130.8023042678833,3131.303046800196,3131.25281278044,3132.253916308284,3132.2704194560647,left,1,3132.2704194560647,3132.2704194560647,0.0012639984488487244,0.4899952858686447,1.0407114252448082,3132.755359262228,practice,1,3132.7734218761325,3132.7734218761325,0.29609111696481705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
,,0,0,0,0,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'left', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'right', 'condition': 'go'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132.7734218761325,3132.7734218761325,return,2.783545583486557,,,,,,,,,,,,,,,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,3150.190756879747,go,squareblack.png,right,0.55,,,,,,,,,,,,,,,0.0027513504028320312,0.49034786969423294,,3152.694539219141,test,1,,,,,,,,3135.574716247618,3135.574716247618,3150.210958354175,3150.7074432373047,3150.7074432373047,3150.7240363657475,3151.258029319346,3151.708460070193,3151.758653521538,3152.7139917761087,right,1,0.4508073627948761,0.55,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,3152.6950949952006,go,circleblack.png,left,0.55,,,,,,,,,,,,,,,0.0026025697588920593,0.4890099838376045,,3155.1969710960984,test,1,,,,,,,,,,3152.7139917761087,3153.210090428591,3153.210090428591,3153.226650238037,3153.761131413281,3154.2109864875674,3154.26175776124,3155.2156363502145,left,1,0.28547630459070206,0.55,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,3155.19741152972,stop,circleblack.png,left,0.55,,,,,,,,,,,,,,,0.0013931170105934143,0.489769384264946,1.040507696568966,3157.69990503788,test,1,,,,,,,,,,3155.2156363502145,3155.713109508157,3155.713109508157,3155.7300587147474,3156.263979189098,3156.7138946205378,3156.7636572271585,3157.7243442982435,left,1,0.37068480253219604,0.5,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,3157.700353682041,go,squareblack.png,right,0.5,,,,,,,,,,,,,,,0.007425829768180847,0.48940857499837875,,3160.202962897718,test,1,,,,,,,,,,3157.7243442982435,3158.2157927900553,3158.2157927900553,3158.232364460826,3158.716245278716,3159.217063471675,3159.217063471675,3160.22170393914,right,1,0.2566661909222603,0.5,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,1,0,4,3,,,,,,,,,3160.2033988684416,stop,squareblack.png,right,0.5,,,,,,,,,,,,,,,0.0013909637928009033,0.4890406057238579,0.9895631298422813,3162.7055875584483,test,1,,,,,,,,,,3160.22170393914,3160.7185027748346,3160.7185027748346,3160.735556729138,3161.2189522981644,3161.7189239040017,3161.7189239040017,3162.7243605330586,right,1,0.3427090346813202,0.45,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,1,1,5,1,,,,,,,,,3162.706043370068,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,0.0013385042548179626,0.48940712213516235,,3165.2079603746533,test,1,,,,,,,,,,3162.7243605330586,3163.22135604918,3163.22135604918,3163.2380311116576,3163.6717342734337,3164.2221192121506,3164.171929001808,3165.227186910808,right,1,0.3287409022450447,0.45,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,1,2,6,3,,,,,,,,,3165.2084076032043,go,circleblack.png,left,0.45,,,,,,,,,,,,,,,0.0018476545810699463,0.48975008726119995,,3167.710949204862,test,1,,,,,,,,,,3165.227186910808,3165.7239674031734,3165.7239674031734,3165.7411182895303,3166.17450556159,3166.7246945276856,3166.6744605973363,3167.730127416551,left,1,0.35413382947444916,0.45,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,1,3,7,3,,,,,,,,,3167.7114123627543,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,0.0017372667789459229,0.4893796592950821,,3170.213428609073,test,1,,,,,,,,,,3167.730127416551,3168.2269165739417,3168.2269165739417,3168.243495680392,3168.6772871240973,3169.2271974384785,3169.1772183850408,3170.2323432564735,right,1,0.33945781737565994,0.45,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,2,0,8,2,,,,,,,,,3170.2138785794377,stop,squareblack.png,right,0.45,,,,,,,,,,,,,,,0.0012737363576889038,0.4895317032933235,0.9401442781090736,3172.7161823287606,test,1,,,,,,,,,,3170.2323432564735,3170.729379877448,3170.729379877448,3170.746308416128,3171.1799124851823,3171.730040885508,3171.6800344735384,3172.7360790744424,right,1,0.342567577958107,0.4,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,2,1,9,0,,,,,,,,,3172.716628983617,stop,circleblack.png,left,0.4,,,,,,,,,,,,,,,0.0020719319581985474,0.4896382912993431,0.8905568793416023,3175.2191194444895,test,1,,,,,,,,,,3172.7360790744424,3173.232242807746,3173.232242807746,3173.2490113452077,3173.632896155119,3174.2327743917704,3174.132561095059,3175.2382240965962,left,1,0.38114533573389053,0.35,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,2,2,10,2,,,,,,,,,3175.2195635885,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0013836473226547241,0.48946012556552887,,3177.721871383488,test,1,,,,,,,,,,3175.2382240965962,3175.7348513677716,3175.7348513677716,3175.7516962066293,3176.085504628718,3176.7356563583016,3176.5852137580514,3177.7408286184072,right,0,0.3732408285140991,0.35,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
None,None,,,,,,,,,0,0,0,0,2,3,11,2,,,,,,,,,3177.722312182188,go,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.001326724886894226,0.48914382606744766,,3180.224291816354,test,1,,,,,,,,,,3177.7408286184072,3178.237046957016,3178.237046957016,3178.253853946924,3178.588043920696,3179.2383488565683,3179.087917327881,3180.2434189096093,left,1,0.3772781267762184,0.35,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,3,0,12,0,,,,,,,,,3180.2247476428747,stop,circleblack.png,left,0.35,,,,,,,,,,,,,,,0.0013294219970703125,0.4899689629673958,0.8400544673204422,3182.7270933538675,test,1,,,,,,,,,,3180.2434189096093,3180.740355350077,3180.740355350077,3180.757382400334,3181.0908030495048,3181.740927107632,3181.5910315588117,3182.7460706457496,left,1,0.3768285736441612,0.3,,,,,,,,,,,s028,001,2024-08-15_09h49.49.957,simplestop_skeleton,2022.2.2,59.8396909362734,
