corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,goResp.rt,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,9,1,37,0,,,,,,,,,657.7130165398121,go,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.0026343949139118195,0.4891996495425701,,660.2147957906127,test,2,,,,,,,,,657.7322959825397,658.2281666323543,658.2281666323543,658.2451310455799,658.2784394212067,658.7791482098401,659.2281000390649,660.233994115144,right,0,0.05,0.35620586574077606,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,9,2,38,1,,,,,,,,,660.2152313664556,go,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.001717597246170044,0.4900333844125271,,662.7179316058755,test,2,,,,,,,,,660.233994115144,660.7307821810246,660.7307821810246,660.7476476095617,660.7810951918364,661.2815376967192,661.7306755557656,662.7376598790288,right,1,0.05,0.31201182678341866,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,9,3,39,3,,,,,,,,,662.7183654606342,go,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.0018918476998806,0.48955952003598213,,665.2203030325472,test,2,,,,,,,,,662.7376598790288,663.2338402271271,663.2338402271271,663.2506433390081,663.2837986648083,663.7847442924976,664.2333169914782,665.2393261864781,left,1,0.05,0.38894977048039436,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,10,0,40,3,,,,,,,,,665.2207404263318,stop,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.0013411901891231537,0.4896136596798897,0.5400604568421841,667.7233719453216,test,2,,,,,,,,,665.2393261864781,665.7363641522825,665.7363641522825,665.7531706951559,665.7866263464093,666.2870733514428,666.7375439926982,667.7422031015158,None,0,0.1,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,10,1,41,1,,,,,,,,,667.7238002419472,go,circleblack.png,left,0.1,,,,,,,,,,,,,,,,0.0013745278120040894,0.48962609469890594,,670.2259439229965,test,2,,,,,,,,,667.7422031015158,668.2393129616976,668.2393129616976,668.2560514546931,668.3393223024905,668.8402786627412,669.2388430163264,670.2455773763359,left,1,0.1,0.47322358936071396,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,10,2,42,1,,,,,,,,,670.2263949029148,stop,squareblack.png,right,0.1,,,,,,,,,,,,,,,,0.001824360340833664,0.48975928500294685,0.5897479690611362,672.7289954945445,test,2,,,,,,,,,670.2455773763359,670.7420954667032,670.7420954667032,670.7586773261428,670.842238355428,671.3431876972318,671.7415650077164,672.7483319416642,right,1,0.05,0.3888992890715599,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,10,3,43,0,,,,,,,,,672.7294226698577,go,circleblack.png,left,0.05,,,,,,,,,,,,,,,,0.0017847754061222076,0.48963871970772743,,675.2318790592253,test,2,,,,,,,,,672.7483319416642,673.244702141732,673.244702141732,673.2616087123752,673.2953409291804,673.7957372628152,674.2443961985409,675.2510131821036,left,1,0.05,0.45199665054678917,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,11,0,44,2,,,,,,,,,675.2323230169713,go,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.0018105283379554749,0.4895828068256378,,677.7343734316528,test,2,,,,,,,,,675.2510131821036,675.7475524693727,675.7475524693727,675.7641805000603,675.7975379191339,676.2985974624753,676.7471491470933,677.7536412402987,right,1,0.05,0.37768832221627235,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,11,1,45,0,,,,,,,,,677.7348132357001,stop,squareblack.png,right,0.05,,,,,,,,,,,,,,,,0.0013544000685214996,0.489661268889904,0.5397415235638618,680.2357171997428,test,2,,,,,,,,,677.7536412402987,678.2504138015211,678.2504138015211,678.2669626437128,678.3002800755203,678.8012347705662,679.2514980584383,680.2525647617877,None,0,0.1,,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
None,None,,,,,,,,,1,0,1,0,11,2,46,2,,,,,,,,,680.2361992783844,go,squareblack.png,right,0.1,,,,,,,,,,,,,,,,0.0011614523828029633,0.4891617186367512,,682.7396549843252,test,2,,,,,,,,,680.2525647617877,680.7515322864056,680.7515322864056,680.7681806534529,680.8516632467508,681.3520764000714,681.752566177398,682.759048294276,right,1,0.1,0.4687088802456856,,,,,,,,,,,s020,001,2024-07-26_09h12.18.085,simplestop_skeleton,2022.2.2,59.096570216440334,
