corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,goResp_test.rt,EndingSSD,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,420.0872635319829,go,circleblack.png,left,0.45,420.1062085852027,420.1062085852027,420.6032592430711,420.6032592430711,420.6200361326337,421.0539280921221,421.5542347058654,421.6046079173684,422.6054739654064,422.62225510925055,None,0,422.62225510925055,422.62225510925055,0.0012573078274726868,0.4901970252394676,0.9406500533223152,423.1068512648344,practice,1,423.12626135349274,423.12626135349274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,423.1072722822428,go,circleblack.png,left,0.45,423.12626135349274,423.12626135349274,423.6232237443328,423.6232237443328,423.6399392038584,424.07390177994967,424.58933179825544,424.62332836538553,425.6254910826683,425.6419327184558,right,0,425.6419327184558,425.6419327184558,0.0012982338666915894,0.490291103720665,0.9408301934599876,426.12686575204134,practice,1,426.14699974656105,426.14699974656105,0.518700622022152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,2,3,11,1,,,,,,,,,,,,,,,,,426.1272828876972,go,squareblack.png,right,0.45,426.14699974656105,426.14699974656105,426.6429990977049,426.6429990977049,426.65981474518776,427.0935247167945,427.594010874629,427.6445405334234,428.6453707739711,428.66185492277145,None,0,428.66185492277145,428.66185492277145,0.0017559528350830078,0.49009692668914795,0.9403400719165802,429.14673589915037,practice,1,429.1663781553507,429.1663781553507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,3,0,12,3,,,,,,,,,,,,,,,,,429.1471554711461,go,squareblack.png,right,0.45,429.1663781553507,429.1663781553507,429.6631857082248,429.6631857082248,429.6798570677638,430.1137774735689,430.61426593363285,430.664517685771,431.6653978303075,431.68223061412573,None,0,431.68223061412573,431.68223061412573,0.0012819170951843262,0.4905959665775299,0.9407031610608101,432.16678846627474,practice,1,432.1870175898075,432.1870175898075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,432.16720797866583,go,circleblack.png,left,0.45,432.1870175898075,432.1870175898075,432.6833366975188,432.6833366975188,432.69999346137047,433.1335500255227,433.63290717452765,433.68283752352,434.68532674759626,434.7022171616554,left,1,434.7022171616554,434.7022171616554,0.0019040629267692566,0.49029040336608887,0.9404813274741173,435.1868561729789,practice,1,435.20665577054024,435.20665577054024,0.5179109275341034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
$currentCorrectResponse,$currentGoStim,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,435.18734952807426,stop,squareblack.png,right,0.45,435.20665577054024,435.20665577054024,435.7033385336399,435.7033385336399,435.72008354216814,436.1534816324711,436.6531552448869,436.70308189839125,437.70534421503544,437.7222306802869,right,1,437.7222306802869,437.7222306802869,0.0018066763877868652,0.490271732211113,0.9410282224416733,438.20686880499125,practice,1,438.22681027650833,438.22681027650833,0.4179704561829567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,438.20729937404394,go,circleblack.png,left,0.4,438.22681027650833,438.22681027650833,438.7232207134366,438.7232207134366,438.74026377499104,439.12368853390217,439.62395699322224,439.72293680906296,440.7251582890749,440.7418233603239,left,1,440.7418233603239,440.7418233603239,0.001781754195690155,0.4901164472103119,0.8906918317079544,441.226758107543,practice,1,,,0.6726067140698433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
$currentCorrectResponse,$currentGoStim,0,0,0,0,4,0,16,0,,,,,,,,,,,,,,,,,441.22717548161745,stop,circleblack.png,left,0.4,441.24587661772966,441.24587661772966,441.7430489137769,441.7430489137769,441.7597301751375,442.14345847815275,442.64418886601925,442.7438750192523,443.74528815597296,443.74528815597296,None,0,443.74528815597296,443.74528815597296,0.001240067183971405,0.4903060793876648,0.8904304653406143,444.23021049797535,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,4,1,17,3,,,,,,,,,,,,,,,,,444.2306494563818,stop,squareblack.png,right,0.45,444.2498888000846,444.2498888000846,444.74656341969967,444.74656341969967,444.7631887421012,445.19675551354885,445.69604355096817,445.7461077198386,446.7485970109701,446.765399761498,right,1,446.765399761498,446.765399761498,0.0017053112387657166,0.4903067350387573,0.9406838193535805,447.250145368278,practice,1,,,0.685857355594635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,4,2,18,1,,,,,,,,,,,,,,,,,447.25058426707983,go,circleblack.png,left,0.4,447.26997853815556,447.26997853815556,447.7663505002856,447.7663505002856,447.7831384688616,448.1667771860957,448.6676213517785,448.7676310092211,449.76851415634155,449.7852967455983,None,0,449.7852967455983,449.7852967455983,0.001762382686138153,0.49020861834287643,0.8904998525977135,450.2702035754919,practice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
None,None,0,0,0,0,4,3,19,3,,,,,,,,,,,,,,,,,450.27061945945024,go,squareblack.png,right,0.4,450.2901469171047,450.2901469171047,450.7862932085991,450.7862932085991,450.80316062271595,451.1871560588479,451.7027915045619,451.7862081974745,452.78864551335573,452.80554661154747,None,0,452.80554661154747,452.80554661154747,0.0017459988594055176,0.4899677336215973,0.8909245803952217,453.29005213081837,practice,1,453.3092620894313,453.3092620894313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s030,001,2024-08-16_11h41.11.411,simplestop_skeleton,2022.2.2,59.94607263280578,
