subject,0-100ms,100-200ms,200-300ms,300-400ms,400-500ms,500-600ms,600-700ms,700-800ms,800-900ms,900-1000ms,1000-1100ms,1100-1200ms,1200-1300ms,1300-1400ms,1400-1500ms,1500-1600ms,1600-1700ms,1700-1800ms,1800-1900ms,1900-2000ms,2000-2100ms,2100-2200ms,2200-2300ms,2300-2400ms,2400-2500ms,2500-2600ms,2600-2700ms,2700-2800ms,2800-2900ms,2900-3000ms,3000-3100ms,3100-3200ms,3200-3300ms,3300-3400ms,3400-3500ms,3500-3600ms,3600-3700ms,3700-3800ms,3800-3900ms,3900-4000ms,4000-4100ms,4100-4200ms,4200-4300ms,4300-4400ms,4400-4500ms,4500-4600ms,4600-4700ms,4700-4800ms,4800-4900ms
s029,0.425,0.625,0.6875,0.775,0.8,0.825,0.7875,0.7375,0.7375,0.8125,0.825,0.8125,0.8125,0.7375,0.775,0.8125,0.8875,0.9125,0.9375,0.9,0.85,0.863013698630137,0.8805970149253731,0.8620689655172413,0.8421052631578947,0.8653846153846154,0.875,0.8837209302325582,0.8780487804878049,0.8205128205128205,0.8529411764705882,0.8275862068965517,0.8214285714285714,0.8260869565217391,0.8,0.8823529411764706,0.8571428571428571,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.875,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
s030,0.6875,0.725,0.725,0.7625,0.8,0.8375,0.8875,0.9,0.9125,0.9,0.9125,0.9,0.9125,0.9,0.875,0.8875,0.925,0.925,0.9125,0.9125,0.9240506329113924,0.9166666666666666,0.96875,0.9811320754716981,0.9795918367346939,0.9787234042553191,0.9545454545454546,0.9743589743589743,0.9696969696969697,0.9310344827586207,0.9166666666666666,0.9047619047619048,0.8666666666666667,0.8461538461538461,0.8461538461538461,0.8333333333333334,0.8181818181818182,0.7777777777777778,0.875,1.0,0.8571428571428571,0.8333333333333334,0.6,0.5,0.5,0.0,0.0,1.0,
s031,0.125,0.425,0.625,0.6375,0.7,0.5375,0.525,0.45,0.4625,0.5375,0.625,0.725,0.6875,0.6625,0.6625,0.6625,0.675,0.6875,0.625,0.65,0.65,0.704225352112676,0.7272727272727273,0.746031746031746,0.6909090909090909,0.6923076923076923,0.6666666666666666,0.7317073170731707,0.775,0.7428571428571429,0.7333333333333333,0.625,0.5714285714285714,0.5555555555555556,0.5333333333333333,0.6428571428571429,0.5833333333333334,0.5454545454545454,0.6,0.6666666666666666,0.5,0.6666666666666666,0.6,0.6,0.5,0.5,0.5,0.0,0.0
s032,0.7125,0.7875,0.8,0.8,0.7625,0.7,0.5875,0.475,0.4125,0.4125,0.45,0.5125,0.575,0.5625,0.55,0.575,0.55,0.625,0.625,0.625,0.725,0.6619718309859155,0.7142857142857143,0.6727272727272727,0.660377358490566,0.6595744680851063,0.6976744186046512,0.6904761904761905,0.8108108108108109,0.8,0.8518518518518519,0.88,0.9166666666666666,0.875,0.8181818181818182,0.85,0.8125,0.8,0.9,0.8888888888888888,0.7777777777777778,0.625,0.8333333333333334,0.6,0.6,0.6,1.0,1.0,1.0
s033,0.2625,0.4875,0.6625,0.9,0.925,0.9375,0.95,0.925,0.85,0.825,0.8,0.8,0.8375,0.8625,0.85,0.8125,0.8,0.825,0.825,0.7875,0.8125,0.8382352941176471,0.859375,0.8421052631578947,0.8076923076923077,0.74,0.6666666666666666,0.7857142857142857,0.7428571428571429,0.6666666666666666,0.7241379310344828,0.7916666666666666,0.8636363636363636,0.7894736842105263,0.875,0.9285714285714286,0.8181818181818182,0.8,0.9,0.875,0.8571428571428571,0.5,0.6,0.6666666666666666,0.5,,,,
s034,0.175,0.6,0.7875,0.95,0.925,0.9375,0.925,0.9375,0.875,0.8125,0.7625,0.725,0.7,0.65,0.575,0.6625,0.65,0.65,0.6375,0.625,0.65,0.6285714285714286,0.6229508196721312,0.6296296296296297,0.6530612244897959,0.6222222222222222,0.5365853658536586,0.4857142857142857,0.5,0.5,0.5384615384615384,0.5833333333333334,0.5789473684210527,0.625,0.6153846153846154,0.6153846153846154,0.6,0.5555555555555556,0.5,0.5,0.6,0.6,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,
s035,0.75,0.9,0.9125,0.95,0.9375,0.9375,0.9625,0.95,0.95,0.95,0.9625,0.9375,0.8875,0.9125,0.9375,0.9375,0.9625,0.9375,0.9,0.8875,0.875,0.9,0.8636363636363636,0.8771929824561403,0.8627450980392157,0.851063829787234,0.8409090909090909,0.8181818181818182,0.8333333333333334,0.7894736842105263,0.8,0.8181818181818182,0.8387096774193549,0.9629629629629629,0.92,0.75,0.6818181818181818,0.7777777777777778,0.8,0.75,0.8181818181818182,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0
s036,0.175,0.475,0.775,0.85,0.8875,0.925,0.925,0.8375,0.7875,0.7625,0.8125,0.85,0.8125,0.775,0.8,0.75,0.8,0.8625,0.8875,0.85,0.8375,0.821917808219178,0.8307692307692308,0.8070175438596491,0.8076923076923077,0.8333333333333334,0.9090909090909091,0.9210526315789473,0.9722222222222222,0.9705882352941176,0.96875,0.9642857142857143,0.96,0.8571428571428571,0.8421052631578947,0.7777777777777778,0.7692307692307693,0.75,0.9,1.0,0.9,0.625,0.5,0.5,0.0,0.5,1.0,1.0,1.0
s037,0.5625,0.675,0.8,0.8375,0.8375,0.85,0.85,0.8625,0.8125,0.8,0.8,0.775,0.775,0.775,0.7625,0.75,0.7625,0.775,0.8125,0.8,0.7848101265822784,0.8,0.8524590163934426,0.8545454545454545,0.8,0.8181818181818182,0.8235294117647058,0.78125,0.7741935483870968,0.7857142857142857,0.68,0.6363636363636364,0.7222222222222222,0.6428571428571429,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
s038,0.3375,0.4125,0.4625,0.775,0.8375,0.775,0.725,0.7375,0.8,0.775,0.7875,0.7625,0.75,0.775,0.7875,0.8375,0.8625,0.85,0.85,0.85,0.85,0.8142857142857143,0.819672131147541,0.8076923076923077,0.8372093023255814,0.825,0.8571428571428571,0.7941176470588235,0.7419354838709677,0.7692307692307693,0.84,0.85,0.7777777777777778,0.7058823529411765,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.9,0.7142857142857143,0.8,0.8,0.6666666666666666,1.0,1.0,,,,,
s039,0.725,0.85,0.825,0.725,0.6,0.475,0.45,0.475,0.5125,0.575,0.55,0.4625,0.45,0.425,0.575,0.575,0.625,0.5625,0.5375,0.5625,0.5625,0.5733333333333334,0.5972222222222222,0.6268656716417911,0.6379310344827587,0.5510204081632653,0.6,0.6153846153846154,0.4857142857142857,0.4838709677419355,0.5,0.5555555555555556,0.625,0.55,0.5882352941176471,0.5625,0.5714285714285714,0.5,0.5,0.5714285714285714,0.7142857142857143,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,
s040,0.9,0.9125,0.9125,0.8625,0.8125,0.7125,0.7125,0.6875,0.6375,0.625,0.6,0.5875,0.5875,0.575,0.625,0.6125,0.6125,0.65,0.6625,0.6375,0.55,0.5466666666666666,0.5396825396825397,0.48214285714285715,0.6078431372549019,0.6,0.6111111111111112,0.5806451612903226,0.64,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.7058823529411765,0.6875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
s041,0.1875,0.3,0.4125,0.9,0.9625,0.9625,0.9625,0.975,0.9875,0.9625,0.975,0.9625,0.9625,0.9375,0.9375,0.9375,0.925,0.925,0.95,0.95,0.95,0.958904109589041,0.9393939393939394,0.9661016949152542,0.9272727272727272,0.9230769230769231,0.8913043478260869,0.9743589743589743,0.9705882352941176,0.96875,0.9259259259259259,0.9166666666666666,0.9090909090909091,0.9047619047619048,0.9473684210526315,0.9411764705882353,0.9375,0.8666666666666667,0.8571428571428571,0.8333333333333334,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
s042,0.8375,0.9375,0.975,0.9875,0.9875,0.9125,0.7625,0.6625,0.575,0.675,0.8125,0.8,0.7875,0.775,0.7,0.7,0.725,0.7375,0.775,0.7875,0.7468354430379747,0.6986301369863014,0.782608695652174,0.7424242424242424,0.7384615384615385,0.7017543859649122,0.7647058823529411,0.7727272727272727,0.8157894736842105,0.696969696969697,0.7241379310344828,0.68,0.8333333333333334,0.782608695652174,0.9,0.8333333333333334,0.75,0.8,0.9230769230769231,0.7272727272727273,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s043,0.075,0.3,0.4625,0.6625,0.7875,0.7375,0.6625,0.6875,0.7375,0.7625,0.7625,0.8125,0.8125,0.825,0.85,0.8375,0.875,0.8625,0.85,0.8375,0.8375,0.8676470588235294,0.8833333333333333,0.9215686274509803,0.9111111111111111,0.9512195121951219,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.9473684210526315,0.8823529411764706,0.9375,0.9333333333333333,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
