subject,0-100ms,100-200ms,200-300ms,300-400ms,400-500ms,500-600ms,600-700ms,700-800ms,800-900ms,900-1000ms,1000-1100ms,1100-1200ms,1200-1300ms,1300-1400ms,1400-1500ms,1500-1600ms,1600-1700ms,1700-1800ms,1800-1900ms,1900-2000ms,2000-2100ms,2100-2200ms,2200-2300ms,2300-2400ms,2400-2500ms,2500-2600ms,2600-2700ms,2700-2800ms,2800-2900ms,2900-3000ms,3000-3100ms,3100-3200ms,3200-3300ms,3300-3400ms,3400-3500ms,3500-3600ms,3600-3700ms,3700-3800ms,3800-3900ms,3900-4000ms,4000-4100ms,4100-4200ms,4200-4300ms,4300-4400ms,4400-4500ms,4500-4600ms,4600-4700ms,4700-4800ms,4800-4900ms
s033,0.3,0.43,0.59,0.77,0.85,0.87,0.88,0.84,0.79,0.77,0.77,0.77,0.79,0.82,0.81,0.84,0.84,0.84,0.87,0.85,0.87,0.8842105263157894,0.8636363636363636,0.8441558441558441,0.8676470588235294,0.8709677419354839,0.8703703703703703,0.8571428571428571,0.8648648648648649,0.8823529411764706,0.9259259259259259,0.9090909090909091,0.8333333333333334,0.7222222222222222,0.8571428571428571,0.8571428571428571,0.8461538461538461,0.8181818181818182,0.7,0.7777777777777778,0.6,0.75,0.6666666666666666,0.5,1.0,1.0,,,
s034,0.1,0.65,0.87,0.94,0.92,0.9,0.84,0.77,0.7,0.69,0.6,0.62,0.6,0.56,0.5,0.45,0.51,0.49,0.48,0.49,0.51,0.5862068965517241,0.6103896103896104,0.5652173913043478,0.5483870967741935,0.6153846153846154,0.6086956521739131,0.5714285714285714,0.5263157894736842,0.5135135135135135,0.5428571428571428,0.5,0.5416666666666666,0.5454545454545454,0.6470588235294118,0.5625,0.5714285714285714,0.75,0.8181818181818182,0.8888888888888888,0.875,0.8571428571428571,0.8571428571428571,0.75,0.5,0.5,0.5,1.0,
s035,0.51,0.65,0.75,0.89,0.95,0.97,0.97,0.98,0.97,0.95,0.95,0.94,0.91,0.93,0.97,0.97,0.97,0.97,0.95,0.94,0.95,0.9263157894736842,0.9176470588235294,0.9210526315789473,0.9538461538461539,0.9672131147540983,0.9310344827586207,0.9230769230769231,0.8723404255319149,0.7619047619047619,0.7878787878787878,0.8064516129032258,0.7857142857142857,0.8076923076923077,0.9130434782608695,0.9411764705882353,0.8571428571428571,0.8461538461538461,0.8333333333333334,0.8888888888888888,0.875,0.75,0.625,0.7142857142857143,0.8,0.3333333333333333,1.0,,
s036,0.12,0.31,0.53,0.84,0.92,0.93,0.89,0.9,0.89,0.9,0.88,0.87,0.85,0.89,0.86,0.86,0.91,0.89,0.88,0.9,0.89,0.865979381443299,0.9024390243902439,0.8428571428571429,0.864406779661017,0.8571428571428571,0.8823529411764706,0.9090909090909091,0.868421052631579,0.8888888888888888,0.7878787878787878,0.7241379310344828,0.7407407407407407,0.7916666666666666,0.85,0.8125,0.7857142857142857,1.0,1.0,0.7777777777777778,0.5714285714285714,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
s037,0.37,0.47,0.45,0.4,0.44,0.47,0.54,0.59,0.57,0.62,0.67,0.7,0.75,0.73,0.77,0.78,0.82,0.79,0.81,0.79,0.82,0.8111111111111111,0.8,0.7808219178082192,0.7794117647058824,0.8095238095238095,0.8113207547169812,0.8,0.7954545454545454,0.85,0.868421052631579,0.8285714285714286,0.8333333333333334,0.8571428571428571,0.8461538461538461,0.7916666666666666,0.8,0.7894736842105263,0.7777777777777778,0.8,0.7692307692307693,0.8333333333333334,0.8181818181818182,0.8888888888888888,0.8333333333333334,0.6666666666666666,1.0,1.0,
s038,0.62,0.66,0.65,0.65,0.65,0.56,0.48,0.42,0.4,0.35,0.34,0.34,0.33,0.4,0.41,0.45,0.47,0.44,0.49,0.46,0.42,0.4482758620689655,0.4875,0.4594594594594595,0.48484848484848486,0.5666666666666667,0.5714285714285714,0.5294117647058824,0.5957446808510638,0.6511627906976745,0.675,0.7428571428571429,0.7272727272727273,0.8,0.7777777777777778,0.7391304347826086,0.75,0.75,0.7857142857142857,0.8181818181818182,0.7777777777777778,0.75,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,1.0
s039,0.73,0.86,0.88,0.85,0.77,0.7,0.71,0.71,0.68,0.7,0.73,0.67,0.66,0.67,0.69,0.64,0.6,0.58,0.61,0.6,0.64,0.6818181818181818,0.7317073170731707,0.72,0.7076923076923077,0.6349206349206349,0.6078431372549019,0.6086956521739131,0.6976744186046512,0.575,0.5641025641025641,0.48484848484848486,0.5806451612903226,0.6,0.6153846153846154,0.7916666666666666,0.7272727272727273,0.7,0.6470588235294118,0.7333333333333333,0.7333333333333333,0.6363636363636364,0.6,0.42857142857142855,0.5,0.6666666666666666,0.6,1.0,1.0
s040,0.82,0.85,0.87,0.84,0.75,0.62,0.54,0.5,0.49,0.48,0.48,0.42,0.38,0.37,0.34,0.41,0.42,0.42,0.46,0.45,0.46,0.4444444444444444,0.525,0.5205479452054794,0.5396825396825397,0.509090909090909,0.5531914893617021,0.5,0.4594594594594595,0.45454545454545453,0.4827586206896552,0.5238095238095238,0.7222222222222222,0.6470588235294118,0.6923076923076923,0.9,0.8888888888888888,0.75,0.7142857142857143,0.8,0.8,1.0,0.75,0.75,1.0,1.0,1.0,,
s041,0.1,0.16,0.34,0.67,0.79,0.89,0.92,0.91,0.91,0.91,0.92,0.91,0.91,0.9,0.91,0.92,0.92,0.92,0.91,0.89,0.88,0.8620689655172413,0.8717948717948718,0.875,0.84375,0.8666666666666667,0.8947368421052632,0.9148936170212766,0.9545454545454546,0.9523809523809523,0.9444444444444444,0.9655172413793104,0.96,0.9583333333333334,0.9545454545454546,0.9,0.9444444444444444,0.9333333333333333,0.9230769230769231,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,
s042,0.85,0.95,0.93,0.8,0.61,0.42,0.47,0.71,0.69,0.79,0.68,0.65,0.66,0.71,0.76,0.7,0.78,0.79,0.8,0.76,0.74,0.8131868131868132,0.8536585365853658,0.8,0.7887323943661971,0.8923076923076924,0.8983050847457628,0.9272727272727272,0.9791666666666666,0.9047619047619048,0.8717948717948718,0.8918918918918919,1.0,1.0,0.875,0.8888888888888888,1.0,0.9166666666666666,0.8888888888888888,0.625,0.625,0.8333333333333334,1.0,0.75,0.75,1.0,1.0,1.0,
s043,0.12,0.26,0.38,0.48,0.57,0.67,0.74,0.82,0.84,0.84,0.83,0.82,0.82,0.84,0.84,0.88,0.85,0.86,0.82,0.81,0.85,0.8191489361702128,0.8390804597701149,0.8227848101265823,0.8309859154929577,0.8115942028985508,0.8095238095238095,0.8545454545454545,0.8541666666666666,0.8780487804878049,0.8974358974358975,0.8611111111111112,0.875,0.90625,1.0,1.0,1.0,1.0,0.9285714285714286,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
mean across all subjects,0.3945,0.54125,0.63375,0.7314999999999999,0.7555000000000001,0.734,0.7295,0.7264999999999999,0.7215,0.7295,0.7345,0.73325,0.732,0.73425,0.734,0.7375,0.74375,0.74275,0.74675,0.74,0.7517447433518862,0.7614056624984615,0.767163838492005,0.7592137301215575,0.7570432140380376,0.7515270912322639,0.7483805363551997,0.7521704817114172,0.751210442798157,0.7544932611480663,0.7532946680478322,0.7499385073253062,0.7629361431348785,0.7525498137544131,0.7729191558847267,0.7658983021248804,0.7629092043250493,0.7812213563655128,0.7682595284617344,0.748886772949273,0.7421578421578422,0.7587274531024532,0.7545283189033188,0.7847817460317461,0.7970238095238095,0.7583333333333333,0.7719047619047619,0.8055555555555555,0.7619047619047619
