corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 1,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,text.stopped,rules_2.stopped,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,Phase,Block,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,goStim_test.started,goResp_test.started,test_fixation.stopped,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,6,3,27,0,,,,,,,,,742.210375122726,go,squareblack.png,right,0.45,,,,,,,,,,,,,,,,,0.0014976449310779572,0.489446509629488,,744.712200678885,test,2,,,,,,,,742.228962212801,742.7255596779287,742.7255596779287,742.7421737611294,743.1753426380455,743.676556956023,743.7268801927567,744.731804009527,right,1,0.45,0.510793749243021,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,7,0,28,2,,,,,,,,,744.7126463912427,stop,circleblack.png,left,0.45,,,,,,,,,,,,,,,,,0.0020137950778007507,0.49000515788793564,0.940195020288229,747.2158547490835,test,2,,,,,,,,744.731804009527,745.2283213585615,745.2283213585615,745.2450584731996,745.6788045652211,746.1779632270336,746.2289791591465,747.2347015887499,left,1,0.4,0.5888972170650959,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,7,1,29,2,,,,,,,,,747.2162963822484,go,circleblack.png,left,0.4,,,,,,,,,,,,,,,,,0.001442883163690567,0.48907677456736565,,749.7175425291061,test,2,,,,,,,,747.2347015887499,747.731407251209,747.731407251209,747.747619792819,748.1313334107399,748.6319902464747,748.7322322130203,749.7366903014481,left,1,0.4,0.7121424488723278,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,7,2,30,1,,,,,,,,,749.7179657183588,stop,squareblack.png,right,0.4,,,,,,,,,,,,,,,,,0.0017272904515266418,0.48995216563344,0.8904490359127522,752.220710169524,test,2,,,,,,,,749.7366903014481,750.2337461076677,750.2337461076677,750.2505499273539,750.6340681128204,751.1344531215727,751.234655328095,752.239657998085,None,0,0.45,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,7,3,31,2,,,,,,,,,752.221152793616,go,circleblack.png,left,0.45,,,,,,,,,,,,,,,,,0.0016325563192367554,0.48987554013729095,,754.7233942747116,test,2,,,,,,,,752.239657998085,752.736866209656,752.736866209656,752.7532887756824,753.187258258462,753.6867716610432,753.7374971844256,754.7422035448253,left,1,0.45,0.6088204719126225,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,8,0,32,1,,,,,,,,,754.7238300517201,stop,circleblack.png,left,0.45,,,,,,,,,,,,,,,,,0.0013933628797531128,0.49004657939076424,0.9400695152580738,757.2261058166623,test,2,,,,,,,,754.7422035448253,755.2394609600306,755.2394609600306,755.2563053481281,755.689908247441,756.1904004849494,756.2403597906232,757.2451881729066,None,0,0.5,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,8,1,33,3,,,,,,,,,757.226533588022,go,circleblack.png,left,0.5,,,,,,,,,,,,,,,,,0.001362830400466919,0.48933976888656616,,759.7292769737542,test,2,,,,,,,,757.2451881729066,757.7422577291727,757.7422577291727,757.7589466273785,758.242801874876,758.7421366982162,758.7421366982162,759.7515968568623,left,1,0.5,0.6604978255927563,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,8,2,34,1,,,,,,,,,759.7297075614333,go,squareblack.png,right,0.5,,,,,,,,,,,,,,,,,0.007346067577600479,0.48965515196323395,,762.2314868234098,test,2,,,,,,,,759.7515968568623,760.2447029724717,760.2447029724717,760.2615917995572,760.745445240289,761.2454645745456,761.2454645745456,762.2502133846283,right,1,0.5,0.8362879864871502,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,8,3,35,2,,,,,,,,,762.2319197915494,stop,squareblack.png,right,0.5,,,,,,,,,,,,,,,,,0.0011906027793884277,0.48977963998913765,0.9904521964490414,764.7345668897033,test,2,,,,,,,,762.2502133846283,762.7477688118815,762.7477688118815,762.7642213590443,763.2481490932405,763.748726554215,763.748726554215,764.7531476579607,None,0,0.55,,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
None,None,,,,,,,,,1,0,1,0,9,0,36,3,,,,,,,,,764.7350013107061,go,squareblack.png,right,0.55,,,,,,,,,,,,,,,,,0.0012688636779785156,0.4896886795759201,,767.2370243407786,test,2,,,,,,,,764.7531476579607,765.2503300458193,765.2503300458193,765.2671318724751,765.8009720407426,766.3001717217267,766.2519171908498,767.2564357072115,right,1,0.55,0.7102968879044056,,,,,,,,,,,s008,001,2024-07-12_16h57.12.021,simplestop_skeleton,2022.2.2,59.849078064682956,
