corrGoResp,shape,practiceBlocks.thisRepN,practiceBlocks.thisTrialN,practiceBlocks.thisN,practiceBlocks.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,stopBlocks.thisRepN,stopBlocks.thisTrialN,stopBlocks.thisN,stopBlocks.thisIndex,testTrials.thisRepN,testTrials.thisTrialN,testTrials.thisN,testTrials.thisIndex,stopPracTrialList,Test Block: 0,welcome.started,start_exp.started,start_exp.keys,start_exp.rt,instrStopText.started,start_prac.started,StartTrialTimeStamp,trialType,goStim,correctResponse,ssd,fixation.started,rules.started,goStim.started,goResp.started,fixation.stopped,stopSignal.started,stopSignal.stopped,goStim.stopped,goResp.stopped,rules.stopped,goResp.keys,goResp.corr,text.started,rules_2.started,fixationOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,text.stopped,rules_2.stopped,goResp.rt,text_5.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.started,testText.started,test_fixation.started,test_fixation.stopped,goStim_test.started,goResp_test.started,stopSignal_test.started,stopSignal_test.stopped,goStim_test.stopped,goResp_test.stopped,goResp_test.keys,goResp_test.corr,EndingSSD,goResp_test.rt,Test Block: 1,text_6.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Test Block: 2,Test Block: 3,ending_text.started,end_resp.started,end_resp.keys,end_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
$currentCorrectResponse,$currentGoStim,,,,,,,,,0,0,0,0,11,1,45,0,,,,,,,,,2013.7928198203444,go,circleblack.png,z,0.25,,,,,,,,,,,,,,,0.0018055364489555359,0.4896142818033695,0.7399516962468624,2016.2950927764177,,,,,,,,,,2013.8117100559175,2014.3252818323672,2014.3084895424545,2014.3084895424545,2014.5588229447603,2015.0596818327904,2015.308176305145,2016.3139010034502,z,0,0.25,0.5676218084990978,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,11,2,46,2,,,,,,,,,2016.295406833291,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0017092414200305939,0.4900289811193943,0.7403688877820969,2018.7980217151344,,,,,,,,,,2016.3139010034502,2016.8281659595668,2016.8111993409693,2016.8111993409693,2017.061540786177,2017.5619656033814,2017.8118091709912,2018.8171978220344,m,0,0.25,0.5150789991021156,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,0,0,0,0,11,3,47,2,,,,,,,,,2018.7983487285674,go,circleblack.png,z,0.25,,,,,,,,,,,,,,,0.0017930008471012115,0.48983103036880493,0.7401249259710312,2021.3006547428668,,,,,,,,,,2018.8171978220344,2019.33074195683,2019.3138245865703,2019.3138245865703,2019.5642697401345,2020.064960718155,2020.3144094608724,2021.3282636329532,z,0,0.25,0.5180573277175426,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'go'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'stop'}, {'fileName': 'squareblack.png', 'correct_response': 'm', 'condition': 'go'}, {'fileName': 'circleblack.png', 'correct_response': 'z', 'condition': 'stop'}]",2021.3282636329532,2021.3282636329532,return,6.779169425368309,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,1,0,1,0,0,0,0,2,,,,,,,,,2028.1171687692404,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0017526373267173767,0.49635881930589676,0.7470686137676239,2030.6281575970352,,,,,,,,,,2028.1365926265717,2028.640269573778,2028.640269573778,2028.640269573778,2028.8913796767592,2029.3919247202575,2029.6422415412962,2030.646924559027,m,0,0.25,0.5690356977283955,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,1,0,1,0,0,1,1,3,,,,,,,,,2030.628487918526,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0012991838157176971,0.4894525483250618,0.739671528339386,2033.1303491815925,,,,,,,,,,2030.646924559027,2031.1603022515774,2031.1436226330698,2031.1436226330698,2031.3940320909023,2031.8930452167988,2032.1444754749537,2033.1486304476857,m,0,0.25,0.32300902903079987,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
$currentCorrectResponse,$currentGoStim,,,,,,,,,1,0,1,0,0,2,2,0,,,,,,,,,2033.1306681670249,go,squareblack.png,m,0.25,,,,,,,,,,,,,,,0.0011783726513385773,0.48982706293463707,0.7400591783225536,2035.6333274058998,,,,,,,,,,2033.1486304476857,2033.6628789231181,2033.6465695127845,2033.6465695127845,2033.8966658972204,2034.3978207707405,2034.6465317048132,2035.6523185111582,m,0,0.25,0.3509434908628464,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,1,0,1,0,0,3,3,2,,,,,,,,,2035.6336359120905,stop,circleblack.png,z,0.25,,,,,,,,,,,,,,,0.0018196851015090942,0.4897884279489517,0.7401384264230728,2038.1360688358545,,,,,,,,,,2035.6523185111582,2036.1656915284693,2036.1490456685424,2036.1490456685424,2036.3993433192372,2036.8999309204519,2037.1501783877611,2038.154757551849,None,1,0.3,,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,1,0,1,0,1,0,4,1,,,,,,,,,2038.136389248073,stop,squareblack.png,m,0.3,,,,,,,,,,,,,,,0.0016748793423175812,0.4899113029241562,0.790370762348175,2040.6390796154737,,,,,,,,,,2038.154757551849,2038.6687302216887,2038.652015760541,2038.652015760541,2038.9524566046894,2039.471084780991,2039.6523720361292,2040.6580153107643,m,0,0.25,0.4229120761156082,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
None,None,,,,,,,,,1,0,1,0,1,1,5,3,,,,,,,,,2040.6393985897303,stop,circleblack.png,z,0.25,,,,,,,,,,,,,,,0.0017160214483737946,0.4897891655564308,0.7401353344321251,2043.1418851315975,,,,,,,,,,2040.6580153107643,2041.1713171899319,2041.1546875275671,2041.1546875275671,2041.40497790277,2041.905075993389,2042.1553556397557,2043.1608003079891,z,0,0.2,0.37661387771368027,,,,,,,,,,,,s001,001,2024-04-10_11h54.28.698,simplestop_skeleton,2022.2.2,59.9271829092568,
